name,country,region,locality,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Alebacken,Sweden,Västra Götaland County,Alafors,operating,yes,no,1,,50,15,65,3,3,europe,Q10404626,http://www.alebacken.nu/,https://openskimap.org/?obj=ec4be9720a76d89479c4d0818586ea447f880cce,ec4be9720a76d89479c4d0818586ea447f880cce,Polygon,57.929181,12.089956,https://www.openstreetmap.org/way/1242083432 https://www.skimap.org/SkiAreas/view/14389
"Горнолыжный комплекс ""Хабарское""",Russia,Nizhny Novgorod Oblast,Хабарское,operating,yes,no,4,,90,81,171,7,7,europe,,https://habarskoe.ru/,https://openskimap.org/?obj=6da03d3982ca79ae116df5e70d553c3c11f0376d,6da03d3982ca79ae116df5e70d553c3c11f0376d,Polygon,56.183297,43.431672,https://www.openstreetmap.org/way/1243584830 https://www.skimap.org/SkiAreas/view/6119
Ski centrum Mraznica,Slovakia,,Hnilčík,operating,yes,no,,,297,675,972,5,5,europe,,,https://openskimap.org/?obj=d83b030425f2fce2add493831bed4c38d2e519d8,d83b030425f2fce2add493831bed4c38d2e519d8,Polygon,48.85454,20.560288,https://www.openstreetmap.org/way/1240149134 https://www.skimap.org/SkiAreas/view/16162
Riksgränsen,Sweden,Norrbotten County,Riksgränsen,operating,yes,no,13,,378,517,895,6,4,europe,Q2116719,https://riksgransen.se/,https://openskimap.org/?obj=bfd0a7375b77c891b47cccf8173f4bc57295ee19,bfd0a7375b77c891b47cccf8173f4bc57295ee19,Polygon,68.415435,18.113684,https://www.openstreetmap.org/way/1244144549 https://www.skimap.org/SkiAreas/view/2021
Le Champ du Feu,France,Grand Est,Belmont,operating,yes,no,7,,164,894,1058,9,9,europe,,http://www.lechampdufeu-ski.com/,https://openskimap.org/?obj=072acf7d6df1a4c38de1b0d0d5c7e5147e80fe12,072acf7d6df1a4c38de1b0d0d5c7e5147e80fe12,Polygon,48.407461,7.263699,https://www.openstreetmap.org/way/1254208633 https://www.skimap.org/SkiAreas/view/895
"Nachwuchsförderzentrum ""Reithlift""",Germany,Bavaria,Schwangau,operating,yes,no,2,,138,810,948,7,6,europe,,http://www.tegelbergbahn.de/tegelbergbahn.html,https://openskimap.org/?obj=2190cc61594e9569d4376adaaace6ed93cef01ce,2190cc61594e9569d4376adaaace6ed93cef01ce,Polygon,47.565233,10.760024,https://www.openstreetmap.org/way/1242084649 https://www.skimap.org/SkiAreas/view/4213
La Bresse Brabant,France,Grand Est,Cornimont,operating,yes,no,3,,118,860,978,3,3,europe,,http://www.labresse-brabant.com/,https://openskimap.org/?obj=bf0921e15d6a701a3e60b313c3fe85a7e6ec78ca,bf0921e15d6a701a3e60b313c3fe85a7e6ec78ca,Polygon,47.987158,6.865583,https://www.openstreetmap.org/way/1254207106 https://www.skimap.org/SkiAreas/view/883
Les Coulmes,France,Auvergne-Rhône-Alpes,Rencurel,operating,yes,yes,2,,149,1065,1214,3,3,europe,,https://www.coulmes-vercors.com/,https://openskimap.org/?obj=f6c8473f002db367aca1f0496d386374b39cbadd,f6c8473f002db367aca1f0496d386374b39cbadd,Polygon,45.138502,5.484313,https://www.openstreetmap.org/way/1254287014 https://www.skimap.org/SkiAreas/view/722
Lus la Jarjatte,France,Auvergne-Rhône-Alpes,Lus-la-Croix-Haute,operating,yes,yes,6,,334,1176,1510,4,4,europe,,https://www.lesstationsdeladrome.fr/stations/lus-la-jarjatte/,https://openskimap.org/?obj=2d228a1bd746049bc270a45194718c67926e8b31,2d228a1bd746049bc270a45194718c67926e8b31,Polygon,44.672353,5.767707,https://www.openstreetmap.org/way/1254210490 https://www.skimap.org/SkiAreas/view/710
Val Pelens,France,Provence-Alpes-Côte d'Azur,Saint-Martin-d'Entraunes,operating,yes,no,,,80,1602,1682,2,2,europe,,,https://openskimap.org/?obj=57107ae91f859df4beda6e864f151d2ed49fd33f,57107ae91f859df4beda6e864f151d2ed49fd33f,Polygon,44.154083,6.738686,https://www.openstreetmap.org/way/1254213657 https://www.skimap.org/SkiAreas/view/705
Szklana Góra Ski,Poland,Lesser Poland Voivodeship,Harbutowice,operating,yes,no,1,,166,381,547,3,2,europe,Q16605587,https://szklanagora.pl,https://openskimap.org/?obj=3c6b898838f8cb8fa0a73fb57a6bd6d2272bfc2c,3c6b898838f8cb8fa0a73fb57a6bd6d2272bfc2c,Polygon,49.810842,19.78965,https://www.openstreetmap.org/way/1317019093 https://www.skimap.org/SkiAreas/view/12665
Embergeralm,Austria,,Berg im Drautal,operating,yes,no,5,,453,1659,2112,5,5,europe,,https://www.embergeralm.info/,https://openskimap.org/?obj=027a6c167cd6175f95d2f08a552cdbfe547494e4,027a6c167cd6175f95d2f08a552cdbfe547494e4,Polygon,46.775264,13.152177,https://www.openstreetmap.org/way/1289108620 https://www.skimap.org/SkiAreas/view/13530
